Device_ID,Device_Type,Purchase_Date,Age,Manufacturer,Model,Country,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class,Maintenance_Report,Cost_Was_Negative,Age_Group,Age_Risk,Downtime_Risk,Failure_Risk,Cost_Risk,Risk_Score,Health_Score,Risk_Category
MD03449,Defibrillator,23-04-2018,7,CardioSync,Model-100,France,14169.85,14.58,1,2,2,Component component upgrade after detecting overheating; functionality restored. log cleaned low priority fault,False,6-8 Years,54.54545454545454,43.34975369458128,16.666666666666664,49.78280579577953,38.870578176621194,61.129421823378806,Medium Risk
MD02024,Infusion Pump,10-12-2020,5,MedEquip,Model-650,Italy,4887.66,4.34,3,1,1,battery wear caused operational delay; replacement initiated. driver update device required inspection,False,3-5 Years,36.36363636363637,11.822660098522169,8.333333333333332,15.970849896857796,16.513695281655483,83.48630471834451,Low Risk
MD04239,MRI Scanner,22-11-2023,2,ImagingTech,Model-650,France,3691.86,2.6,2,0,1,data lag caused operational delay; component upgrade initiated. data loss emergency shutdown,False,0-2 Years,9.090909090909092,6.4655172413793105,0.0,11.61494500114562,6.080825990824735,93.91917400917526,Low Risk
MD00153,Defibrillator,03-03-2021,4,RescueTech,Model-450,UK,5562.08,6.75,2,1,1,Routine check completed; battery wear observed during diagnostics. sensor replaced emergency shutdown,False,3-5 Years,27.27272727272727,19.242610837438427,8.333333333333332,18.427539460134437,17.412836597803867,82.58716340219613,Low Risk
MD03743,Defibrillator,16-05-2019,6,RescueTech,Model-450,Canada,6819.15,14.64,3,2,2,Component inspection after detecting voltage spike; functionality restored. driver update moderate delay,False,6-8 Years,45.45454545454545,43.5344827586207,16.666666666666664,23.00663075236801,31.752580068968904,68.24741993103109,Medium Risk
MD01925,X-Ray Machine,19-06-2019,6,CardioSync,Model-250,UK,7937.0,3.49,3,0,1,software crash caused operational delay; software patch initiated. reviewed logs performance warning,False,6-8 Years,45.45454545454545,9.205665024630544,0.0,27.078589514428437,17.268326501183942,82.73167349881606,Low Risk
MD05194,Defibrillator,20-09-2013,12,RescueTech,Model-600,Japan,2474.66,6.55,3,0,1,Component recalibration after detecting overheating; functionality restored. component issue device required inspection,False,9+ Years,100.0,18.626847290640395,0.0,7.181086965470038,27.024271580286126,72.97572841971387,Low Risk
MD05160,Infusion Pump,02-02-2023,2,ImagingTech,Model-450,Japan,2372.2,3.31,1,0,1,Component replacement after detecting voltage spike; functionality restored. data loss system crash,False,0-2 Years,9.090909090909092,8.651477832512317,0.0,6.807858987869545,5.775196965509422,94.22480303449058,Low Risk
MD02451,MRI Scanner,22-09-2023,2,MedEquip,Model-550,Canada,4869.47,1.5,5,0,1,Routine check completed; battery wear observed during diagnostics. log cleaned log file cleared,False,0-2 Years,9.090909090909092,3.078817733990148,0.0,15.904589727888904,5.922745083956643,94.07725491604336,Low Risk
MD01761,Defibrillator,14-10-2023,2,ImagingTech,Model-150,Canada,6735.61,8.45,1,1,2,Component firmware update after detecting voltage spike; functionality restored. critical failure urgent inspection needed,False,0-2 Years,9.090909090909092,24.476600985221676,8.333333333333332,22.702322092903387,16.201626532329,83.798373467671,Low Risk
